"Gene"
"ABCA7"
"ABCC8"
"ABHD6"
"ACE"
"ADCY8"
"ADGRB1"
"ADGRF1"
"ADORA1"
"ADORA2A"
"ADRA2A"
"AFF2"
"AGER"
"ALS2"
"AMFR"
"ANKRD27"
"APP"
"ARC"
"ARF1"
"ARL6IP5"
"ARMCX5-GPRASP2"
"ASIC1"
"ATAD1"
"ATF4"
"ATP6V0D1"
"ATP7A"
"ATP9A"
"ATXN1"
"ATXN1L"
"B2M"
"B4GALT2"
"BAIAP2"
"BDNF"
"BEST1"
"BGLAP"
"BIN1"
"BLOC1S6"
"BMP7"
"BRAF"
"BRSK1"
"C22orf39"
"CALHM2"
"CAMK2B"
"CAPRIN1"
"CASP3"
"CASR"
"CCL11"
"CD2AP"
"CD38"
"CDH8"
"CDK5"
"CDK6"
"CHRDL1"
"CHRFAM7A"
"CHRM1"
"CHRM2"
"CHRNA7"
"CHRNB2"
"CIC"
"CIT"
"CLCN3"
"CLN3"
"CNR1"
"CNTN4"
"CNTNAP1"
"CNTNAP2"
"COMT"
"CPEB3"
"CREB1"
"CRH"
"CRHBP"
"CRHR2"
"CRTC1"
"CSMD1"
"CTTN"
"CX3CL1"
"CX3CR1"
"DAB2IP"
"DAG1"
"DBH"
"DBN1"
"DBNL"
"DICER1"
"DKK1"
"DLG4"
"DNAAF4"
"DNAH11"
"DNM2"
"DRD1"
"DRD2"
"DRD3"
"DRD5"
"DTNBP1"
"EGFR"
"EGR2"
"EIF4EBP2"
"ELFN1"
"ELK1"
"EP300"
"EPB41L3"
"EPHA4"
"EPHB2"
"F2R"
"FEN1"
"FGF13"
"FLRT3"
"FMR1"
"FOXO6"
"FZD9"
"GAD1"
"GALR2"
"GALR3"
"GAS7"
"GATM"
"GFAP"
"GHSR"
"GIP"
"GIPC1"
"GLP1R"
"GM2A"
"GPER1"
"GPI"
"GPM6A"
"GPRASP3"
"GRIA1"
"GRIA3"
"GRID2IP"
"GRIK2"
"GRIN1"
"GRIN2A"
"GRIN2B"
"GRIN2C"
"GRIN2D"
"GRIN3A"
"GRM2"
"GRM5"
"GRPR"
"HCN1"
"HMGCR"
"HRAS"
"HRH1"
"HTR2A"
"INS"
"INSR"
"ITGA1"
"ITGA2"
"ITGA3"
"ITGA5"
"ITGA8"
"ITPKA"
"ITPR3"
"JPH3"
"JPH4"
"KAT2A"
"KAT2B"
"KCNA1"
"KCNA2"
"KCNA6"
"KCNC1"
"KCNC2"
"KCNC3"
"KCNC4"
"KCNJ10"
"KCNK10"
"KCNK2"
"KCNK4"
"KCNQ3"
"KIF20B"
"KIRREL3"
"KLK8"
"KRAS"
"LARGE1"
"LGMN"
"LHX8"
"LILRB2"
"LMX1A"
"LRP4"
"LRRK2"
"LRRTM1"
"LRRTM2"
"LZTS1"
"MAN2B1"
"MAP1A"
"MAP1S"
"MAP4K4"
"MAPK1"
"MAPT"
"MECP2"
"MEF2C"
"MICOS10-NBL1"
"MINK1"
"MIR320A"
"MIR320B1"
"MIR320B2"
"MIR320C1"
"MIR320C2"
"MIR320D1"
"MIR320D2"
"MIR320E"
"MIR324"
"MIR337"
"MIR342"
"MIR421"
"MIR433"
"MIR541"
"MIR545"
"MIR95"
"MME"
"MNX1"
"MPP2"
"MUSK"
"MYO16"
"NBL1"
"NCKAP1"
"NCKAP1L"
"NCSTN"
"NEDD9"
"NEGR1"
"NEK3"
"NETO1"
"NF1"
"NFATC4"
"NGF"
"NLGN1"
"NOG"
"NPAS4"
"NPFF"
"NPTN"
"NR2E1"
"NRXN1"
"NTAN1"
"NTF3"
"NTF4"
"NTRK1"
"NTRK2"
"NTS"
"NYAP1"
"NYAP2"
"OPRD1"
"OPRK1"
"OXT"
"OXTR"
"P2RX3"
"PACSIN1"
"PAFAH1B1"
"PAIP2"
"PAK1"
"PAK5"
"PAK6"
"PALS1"
"PCSK1"
"PDYN"
"PENK"
"PICALM"
"PICK1"
"PLCB1"
"PLK2"
"PLXNB1"
"PNOC"
"POMK"
"PPP1R12A"
"PPP1R12B"
"PPP1R12C"
"PPP3CB"
"PRKAR1B"
"PRKCG"
"PRKCZ"
"PRNP"
"PRRT1"
"PRRT2"
"PSEN1"
"PTEN"
"PTGS2"
"PTK2B"
"PTN"
"PTPRN"
"PTPRZ1"
"RAB5A"
"RAB8A"
"RAPGEF2"
"RARA"
"RASGRF1"
"RASGRF2"
"RELN"
"RGS14"
"ROGDI"
"ROR1"
"S100B"
"SCN2A"
"SCN9A"
"SCT"
"SCTR"
"SEPTIN6"
"SERPINE2"
"SGK1"
"SHANK2"
"SHANK3"
"SHISA7"
"SHTN1"
"SIPA1L1"
"SIX1"
"SIX4"
"SLC11A2"
"SLC17A8"
"SLC1A1"
"SLC24A1"
"SLC24A2"
"SLC2A4"
"SLC38A1"
"SLC4A10"
"SLC4A8"
"SLC6A1"
"SLC6A3"
"SLC6A4"
"SLC8A1"
"SLC8A2"
"SLC8A3"
"SLC9A6"
"SNAP25"
"SNCA"
"SNCB"
"SNCG"
"SORCS2"
"SORCS3"
"SPG11"
"SRC"
"SRF"
"SRGAP2"
"SRSF10"
"STX3"
"STX4"
"STXBP1"
"SYNGAP1"
"SYNGR1"
"SYP"
"SYT11"
"SYT12"
"SYT4"
"TAFA2"
"TANC1"
"TAOK3"
"TGFB2"
"TH"
"THOC2"
"THRA"
"TMOD2"
"TNIK"
"TNR"
"TPBG"
"TREM2"
"TRIO"
"TSHZ3"
"TTBK1"
"TTC36"
"TUBA1A"
"TULP1"
"TUNAR"
"UBB"
"UBE3A"
"UCN"
"UCN3"
"UGT8"
"VAMP2"
"VGF"
"VLDLR"
"VPS13A"
"VPS13B"
"VPS54"
"WEE1"
"YTHDF1"
"YWHAG"
"YWHAH"
"ZNF335"
"ZNF385A"
