sample_id,dataset,organism_ch1,source_name_ch1,disease,health_state,brain_region,tissue,sex,age,disease_status
GSM1443310,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443311,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443312,combined_metadata.csv,Homo sapiens,whole blood,,,,,,,Unknown
GSM1443313,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443314,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443315,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443316,combined_metadata.csv,Homo sapiens,whole blood,,,,,,,Unknown
GSM1443317,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443318,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443319,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443320,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443321,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443322,combined_metadata.csv,Homo sapiens,whole blood,,,,,,,Unknown
GSM1443323,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443324,combined_metadata.csv,Homo sapiens,whole blood,,,,,,,Unknown
GSM1443325,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443326,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443327,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443328,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443329,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443330,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443331,combined_metadata.csv,Homo sapiens,whole blood,,,,,,,Unknown
GSM1443332,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443333,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443334,combined_metadata.csv,Homo sapiens,whole blood,,,,,,,Unknown
GSM1443335,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443336,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443337,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443338,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443340,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443341,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443342,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443343,combined_metadata.csv,Homo sapiens,whole blood,,,,,,,Unknown
GSM1443344,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443345,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443346,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443347,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443348,combined_metadata.csv,Homo sapiens,whole blood,,,,,,,Unknown
GSM1443349,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443350,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443351,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443352,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443353,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443354,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443356,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443357,combined_metadata.csv,Homo sapiens,whole blood,,,,,,,Unknown
GSM1443358,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443359,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443360,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443361,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443362,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443363,combined_metadata.csv,Homo sapiens,whole blood,,,,,,,Unknown
GSM1443364,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443365,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443366,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443368,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443369,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443370,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443371,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443372,combined_metadata.csv,Homo sapiens,whole blood,,,,,,,Unknown
GSM1443373,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443374,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443375,combined_metadata.csv,Homo sapiens,whole blood,,,,,,,Unknown
GSM1443376,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443377,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443378,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443379,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443381,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443382,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443383,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443384,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443385,combined_metadata.csv,Homo sapiens,whole blood,,,,,,,Unknown
GSM1443386,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443387,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443388,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443389,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443390,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443391,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443392,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443393,combined_metadata.csv,Homo sapiens,whole blood,,,,,,,Unknown
GSM1443395,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443396,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443397,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443398,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443399,combined_metadata.csv,Homo sapiens,whole blood,,,,,,,Unknown
GSM1443400,combined_metadata.csv,Homo sapiens,whole blood,,,,,,,Unknown
GSM1443401,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443402,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443403,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443404,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443405,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443407,combined_metadata.csv,Homo sapiens,whole blood,,,,,,,Unknown
GSM1443408,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443409,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443410,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443411,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443412,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443413,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443414,combined_metadata.csv,Homo sapiens,whole blood,,,,,,,Unknown
GSM1443415,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443416,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443417,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443418,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443420,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443421,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443422,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443423,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443424,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443425,combined_metadata.csv,Homo sapiens,whole blood,,,,,,,Unknown
GSM1443426,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443427,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443428,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443430,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443431,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443432,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443433,combined_metadata.csv,Homo sapiens,whole blood,,,,,,,Unknown
GSM1443434,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443435,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
